symbol,name,sector,mcap_cr
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,HEALTHCARE,425000
SUNTV,Sun TV Network Ltd.,MEDIA,24000
SUNDARMFIN,Sundaram Finance Ltd.,FIN_SERVICES,47533
SUPREMEIND,Supreme Industries Ltd.,INFRA,45380
SPLPETRO,Supreme Petrochem Ltd.,PHARMA,12615
SUZLON,Suzlon Energy Ltd.,INFRA,74860
SWANCORP,Swan Corp Ltd.,PHARMA,9990
SWIGGY,Swiggy Ltd.,SERVICES,88000
SYNGENE,Syngene International Ltd.,HEALTHCARE,16000
SYRMA,Syrma SGS Technology Ltd.,INFRA,20366
TBOTEK,TBO Tek Ltd.,SERVICES,12974
TVSMOTOR,TVS Motor Company Ltd.,AUTO,107000
TATACAP,Tata Capital Ltd.,FIN_SERVICES,133669
TATACHEM,Tata Chemicals Ltd.,PHARMA,19970
TATACOMM,Tata Communications Ltd.,SERVICES,50000
TCS,Tata Consultancy Services Ltd.,IT,1420000
TATACONSUM,Tata Consumer Products Ltd.,FMCG,76000
TATAELXSI,Tata Elxsi Ltd.,IT,45000
TATAINVEST,Tata Investment Corporation Ltd.,FIN_SERVICES,35143
TMCV,Tata Motors Ltd.,INFRA,180000
TMPV,Tata Motors Passenger Vehicles Ltd.,AUTO,180000
TATAPOWER,Tata Power Co. Ltd.,ENERGY,132000
TATASTEEL,Tata Steel Ltd.,METAL,195000
TATATECH,Tata Technologies Ltd.,IT,28679
TTML,Tata Teleservices (Maharashtra) Ltd.,SERVICES,8396
TECHM,Tech Mahindra Ltd.,IT,128000
TECHNOE,Techno Electric & Engineering Company Ltd.,INFRA,13970
TEGA,Tega Industries Ltd.,INFRA,11935
TEJASNET,Tejas Networks Ltd.,SERVICES,8896
TENNIND,Tenneco Clean Air India Ltd.,AUTO,0
